Unnamed: 0,id,context,type,result,question,A,B,C,D
0,1,"Đối với sốt Pontiac, người bệnh đôi khi không cần nhập viện điều trị vì khả năng tự giới hạn của nó. Tuy nhiên, bệnh nhân mắc bệnh Legionnaire cần phải được nhập viện và thuốc kháng sinh là phương pháp điều trị chính. Mức độ đáp ứng thay đổi tùy thuộc vào từng bệnh nhân cụ thể, đòi hỏi thời gian vài tuần hoặc vài tháng để người bệnh hồi phục hoàn toàn. Điều trị càng sớm càng giúp giảm thiểu nguy cơ mắc phải các biến chứng nghiêm trọng của bệnh.",Single-Choice,['C'],"Bệnh gây ra bởi Legionnaire diễn tiến rất nhanh, đã ghi nhận những trường hợp tử vong gây ra bởi vi khuẩn này. Trong trường hợp nào có thể an tâm, bệnh chắc chắn sẽ không tiến triển đến mức đó?",Điều trị sớm.,Sử dụng thuốc kháng sinh.,Sốt Pontiac.,Nhập viện.
1,2,"Đối với sốt Pontiac, người bệnh đôi khi không cần nhập viện điều trị vì khả năng tự giới hạn của nó. Tuy nhiên, bệnh nhân mắc bệnh Legionnaire cần phải được nhập viện và thuốc kháng sinh là phương pháp điều trị chính. Mức độ đáp ứng thay đổi tùy thuộc vào từng bệnh nhân cụ thể, đòi hỏi thời gian vài tuần hoặc vài tháng để người bệnh hồi phục hoàn toàn. Điều trị càng sớm càng giúp giảm thiểu nguy cơ mắc phải các biến chứng nghiêm trọng của bệnh.",Multi-Choice,"['A', 'C']","Trong điều trị bệnh Legionnaire, các cơ quan y tế khuyến nghị nhập viện điều trị càng sớm càng tốt và sử dụng kháng sinh là phương pháp chữa trị chính. Tại sao các bác sĩ lại khuyên như vậy?",Vì Legionnaire là một bệnh truyền nhiễm nghiêm trọng.,Legionnaire gây ra sốt Pontiac và nhập viện.,Legionnaire gây ra tử vong trong một số trường hợp.,Kháng sinh là phương pháp duy nhất điều trị Legionnaire mang lại hiệu quả.
2,3,"Đối với sốt Pontiac, người bệnh đôi khi không cần nhập viện điều trị vì khả năng tự giới hạn của nó. Tuy nhiên, bệnh nhân mắc bệnh Legionnaire cần phải được nhập viện và thuốc kháng sinh là phương pháp điều trị chính. Mức độ đáp ứng thay đổi tùy thuộc vào từng bệnh nhân cụ thể, đòi hỏi thời gian vài tuần hoặc vài tháng để người bệnh hồi phục hoàn toàn. Điều trị càng sớm càng giúp giảm thiểu nguy cơ mắc phải các biến chứng nghiêm trọng của bệnh.",Multi-Choice,"['A', 'B', 'C', 'D']","Sau khi tra cứu các triệu chứng của bản thân trên mạng, ông Hùng nhận thấy mình có khả năng bị bệnh Legionnare. Tuy nhiên, ông chưa có cơ hội đi bệnh viện để kiểm tra và điều trị. Trong trường hợp, ông Hùng thực sự bị bệnh Legionnaire, điều gì có thế xảy ra?",Mắc phải các biến chứng nguy hiểm.,Bệnh tình kéo dài hơn 1 tháng.,Gặp di chứng về não.,Tử vong.
3,4,"Nguyên nhân của bệnh hiện vẫn chưa được tìm ra rõ nhưng qua nghiên cứu, viêm da cơ địa có thể do yếu tố di truyền, gia đình hay xuất hiện ở những người có bệnh tự miễn hay dị ứng khác như hen phế quản, viêm mũi dị ứng ( 60 % người bị viêm da cơ địa có con cũng bị bệnh này. Nếu cả bố và mẹ đều bị viêm da cơ địa thì có tới 80 % con bị bệnh ). Ngoài ra còn có các nguyên nhân khởi phát hoặc làm cho bệnh nặng lên như: tiếp xúc hóa chất ( sơn, nhựa,... ), phấn hoa, bọ nhà, khói,... ; tiếp xúc với các yếu tố gây dị ứng ( mặc quần áo dày hoặc quá bó sát, tắm nước quá nóng, ngồi quá gần lò sưởi,... ) ; dị ứng một số loại xà phòng, nước hoa, lông động vật ; do thay đổi thời tiết bất thường ( từ nóng sang lạnh hoặc từ lạnh sang nóng đột ngột, thời tiết quá khô, nhiều gió hay quá lạnh,... ) ; bị nhiễm virus hoặc một số bệnh nhiễm khuẩn ;",Single-Choice,['A'],"Hương đi khám bệnh ở một bệnh viện lớn gần nhà, do nhiều ngày gần đây xuất hiện nhiều mề đay và ngứa. Cô được bác sĩ chẩn đoán sau khi khai thác tiền sử bệnh tật rằng có thể mắc viêm da cơ địa. Hỏi khi Hương bị mắc bệnh viêm da cơ địa thì tỷ lệ con gái của chồng Hương mắc căn bệnh là bao nhiêu phần trăm?",60% .,70g.,70cm.,15% .
4,5,"Nguyên nhân của bệnh hiện vẫn chưa được tìm ra rõ nhưng qua nghiên cứu, viêm da cơ địa có thể do yếu tố di truyền, gia đình hay xuất hiện ở những người có bệnh tự miễn hay dị ứng khác như hen phế quản, viêm mũi dị ứng ( 60 % người bị viêm da cơ địa có con cũng bị bệnh này. Nếu cả bố và mẹ đều bị viêm da cơ địa thì có tới 80 % con bị bệnh ). Ngoài ra còn có các nguyên nhân khởi phát hoặc làm cho bệnh nặng lên như: tiếp xúc hóa chất ( sơn, nhựa,... ), phấn hoa, bọ nhà, khói,... ; tiếp xúc với các yếu tố gây dị ứng ( mặc quần áo dày hoặc quá bó sát, tắm nước quá nóng, ngồi quá gần lò sưởi,... ) ; dị ứng một số loại xà phòng, nước hoa, lông động vật ; do thay đổi thời tiết bất thường ( từ nóng sang lạnh hoặc từ lạnh sang nóng đột ngột, thời tiết quá khô, nhiều gió hay quá lạnh,... ) ; bị nhiễm virus hoặc một số bệnh nhiễm khuẩn ;",Multi-Choice,"['A', 'B', 'C', 'D']","Hương đi khám bệnh ở một bệnh viện lớn gần nhà, do nhiều ngày gần đây xuất hiện nhiều mề đay và ngứa. Cô được bác sĩ chẩn đoán sau khi biết khai thác tiền sử bệnh tật rằng có thể mắc viêm da cơ địa. Được biết bệnh viêm da cơ địa, loại bệnh khiến cho người mắc phải ngứa ngáy và khó chịu, có thể do nguyên nhân nào gây ra?",Tiếp xúc sơn hoá học.,Thường xuyên tắm nước ở nhiệt độ cao.,Độ ẩm trong không khí quá thấp.,Do chuyển mùa đột ngột.
5,6,"Bệnh có biểu hiện rất đa dạng nhưng thường gặp một số triệu chứng chính sau ( tùy theo tuổi và giai đoạn bệnh ): Khô da. Da sần, nhạy cảm, sưng do gãi. Da dày lên, nứt nẻ và bong vảy. Xuất hiện các vết sưng nhỏ và khi gãi có thể chảy mủ, đặc biệt ở trên mặt, ở vùng da quanh đầu gối, cổ tay, khuỷu tay và mắt cá chân, thậm chí có thể nổi ban trên khắp cơ thể. Ngứa có thể đặc biệt nghiêm trọng, nhất là vào ban đêm khiến trẻ khó ngủ hoặc ngủ không ngon giấc. Biến chứng của viêm da cơ địa. Hen suyễn và dị ứng phấn hoa: một số nghiên cứu cho thấy, đa phần trẻ bị viêm da cơ địa cũng mắc hen suyễn và dị ứng phấn hoa. Ngứa mãn tính và bong tróc da: việc gãi nhiều các vùng da ngứa làm da dày và cứng lên, thậm chí chảy máu, nhiễm trùng da. Viêm da tiếp xúc kích ứng: thường gặp ở những người hay phải tiếp xúc với hóa chất như xà phòng, nước tẩy rửa mạnh hay các chất diệt khuẩn,... Các vấn đề liên quan đến giấc ngủ: việc ngứa và gãi liên tục ảnh hưởng rất nhiều đến giấc ngủ của người bệnh, làm giảm chất lượng cuộc sống của người bệnh ( rối loạn giấc ngủ, thay đổi hoạt động, dễ kích ứng, tự kỷ,... ).",Single-Choice,['B'],"Dạo này chị Hồng cảm thấy mũi đỏ và ngứa ngáy, cảm giác khó thở cũng bắt đầu xuất hiện. Được biết, chị Hồng đã từng có tiền sự bệnh viêm da cơ địa. Xin hỏi chị Hồng có thể trồng loại cây nào trong nhà?",Cây bìm bịp.,Hoa hồng ngoại.,Hoa ly.,Hoa hướng dương.
6,7,"Bệnh có biểu hiện rất đa dạng nhưng thường gặp một số triệu chứng chính sau ( tùy theo tuổi và giai đoạn bệnh ): Khô da. Da sần, nhạy cảm, sưng do gãi. Da dày lên, nứt nẻ và bong vảy. Xuất hiện các vết sưng nhỏ và khi gãi có thể chảy mủ, đặc biệt ở trên mặt, ở vùng da quanh đầu gối, cổ tay, khuỷu tay và mắt cá chân, thậm chí có thể nổi ban trên khắp cơ thể. Ngứa có thể đặc biệt nghiêm trọng, nhất là vào ban đêm khiến trẻ khó ngủ hoặc ngủ không ngon giấc. Biến chứng của viêm da cơ địa. Hen suyễn và dị ứng phấn hoa: một số nghiên cứu cho thấy, đa phần trẻ bị viêm da cơ địa cũng mắc hen suyễn và dị ứng phấn hoa. Ngứa mãn tính và bong tróc da: việc gãi nhiều các vùng da ngứa làm da dày và cứng lên, thậm chí chảy máu, nhiễm trùng da. Viêm da tiếp xúc kích ứng: thường gặp ở những người hay phải tiếp xúc với hóa chất như xà phòng, nước tẩy rửa mạnh hay các chất diệt khuẩn,... Các vấn đề liên quan đến giấc ngủ: việc ngứa và gãi liên tục ảnh hưởng rất nhiều đến giấc ngủ của người bệnh, làm giảm chất lượng cuộc sống của người bệnh ( rối loạn giấc ngủ, thay đổi hoạt động, dễ kích ứng, tự kỷ,... ).",Multi-Choice,"['A', 'B', 'C']","Theo thông tin đã được công bố, viêm da cơ địa có thể gây ra nhiều biến chứng và phản ứng khác nhau. Nếu một người có làn da nhạy cảm thì điều gì sẽ xảy ra khi tiếp xúc với hoa phấn lily?",Gặp khó khăn trong việc ngủ.,nhạy cảm với ánh nắng mặt trời.,"Thở rít, thở khò khè.",Giặt đồ bị nổi phát ban.
7,8,"Bệnh có biểu hiện rất đa dạng nhưng thường gặp một số triệu chứng chính sau ( tùy theo tuổi và giai đoạn bệnh ): Khô da. Da sần, nhạy cảm, sưng do gãi. Da dày lên, nứt nẻ và bong vảy. Xuất hiện các vết sưng nhỏ và khi gãi có thể chảy mủ, đặc biệt ở trên mặt, ở vùng da quanh đầu gối, cổ tay, khuỷu tay và mắt cá chân, thậm chí có thể nổi ban trên khắp cơ thể. Ngứa có thể đặc biệt nghiêm trọng, nhất là vào ban đêm khiến trẻ khó ngủ hoặc ngủ không ngon giấc. Biến chứng của viêm da cơ địa. Hen suyễn và dị ứng phấn hoa: một số nghiên cứu cho thấy, đa phần trẻ bị viêm da cơ địa cũng mắc hen suyễn và dị ứng phấn hoa. Ngứa mãn tính và bong tróc da: việc gãi nhiều các vùng da ngứa làm da dày và cứng lên, thậm chí chảy máu, nhiễm trùng da. Viêm da tiếp xúc kích ứng: thường gặp ở những người hay phải tiếp xúc với hóa chất như xà phòng, nước tẩy rửa mạnh hay các chất diệt khuẩn,... Các vấn đề liên quan đến giấc ngủ: việc ngứa và gãi liên tục ảnh hưởng rất nhiều đến giấc ngủ của người bệnh, làm giảm chất lượng cuộc sống của người bệnh ( rối loạn giấc ngủ, thay đổi hoạt động, dễ kích ứng, tự kỷ,... ).",Multi-Choice,"['A', 'D']","Dạo gần đây, chị Hồng thường xuyên cảm thấy ngứa rát trên da, đặc biệt là vào ban đêm khiến cô khó chịu và khó ngủ. Trạng thái ngứa này làm ảnh hưởng đến chất lượng cuộc sống của chị, gây ra sự bất tiện và phiền toái hàng ngày. Biến chừng gì có thể xảy ra nếu Chí Hồng ngứa gãi thường xuyên?",Giảm chất lượng giấc ngủ.,Nhiễm trùng máu.,Sưng và nổi ban trên cơ thể.,Chảy mủ trên mặt.
8,9,"Điều trị viêm da cơ địa có nhiều biện pháp có thể áp dụng tại nhà. Tuy nhiên đây là bệnh khó chữa khỏi, dai dẳng và dễ tái phát. Kiểm soát ngứa. Sử dụng băng ướt hoặc đắp ẩm cho vùng da tổn thương ( Petrolatum, aquaphor, hay một số chế phẩm mới hơn như atopiclair và mimyx ). Sử dụng thuốc theo hướng dẫn của bác sĩ chuyên khoa ( thuốc bôi tại chỗ hoặc thuốc bôi toàn thân: Hydrocortisone, triamcinolone, betamethasone ; mỡ tra, đặc biệt khi ở trong môi trường khô. ) Giữ ẩm cho da. Nên sử dụng kem dưỡng ẩm ít gây kích ứng da thường xuyên khi người bệnh xuất hiện các dấu hiệu của bệnh và ngay cả khi đã hết bệnh. Kem dưỡng da nên bôi toàn thân ngay cả khi không có viêm chứ không chỉ vùng da tổn thương. Số lần sử dụng kem dưỡng da tùy thuộc vào mức độ nặng của bệnh, có thể 1 lần, 2 lần hoặc nhiều hơn. Nên bôi kem sau khi làm ẩm da ( tắm, băng ướt,... ). Nếu có chỉ định bôi thuốc của bác sĩ thì bôi thuốc trước rồi thoa một lớp kem dưỡng ẩm phủ lên trên. Chú ý khi lấy kem để bôi nên dùng dụng cụ sạch lấy ra một lượng vừa đủ để bôi tránh làm bẩn lượng kem chưa dùng đến. Đặc biệt, cần chăm sóc cho trẻ bị viêm da cơ địa thật cẩn thận: chú ý vệ sinh cho trẻ thường xuyên, cắt móng tay, băng ướt cho trẻ ( sử dụng phương pháp băng ướt nếu bệnh VDCĐ không được kiểm soát trong vòng 24-48 giờ sau khi bắt đầu điều trị bằng cortisone. Băng ướt rất hiệu quả và thường chỉ cần từ ba đến năm ngày. Có thể pha dung dịch làm tăng cường độ ẩm cho da theo chỉ định của bác sĩ để việc đắp ẩm cho da hiệu quả hơn. Có thể thực hiện băng ướt cho trẻ vài lần mỗi ngày tùy thuộc vào mức độ nặng của da ), chú ý tắm cho trẻ hàng ngày ( dùng sữa tắm thay thế xà phòng, không tắm nước quá nóng, nên tắm trước khi ngủ 2 tiếng giúp trẻ dễ ngủ ngon giấc,... ), cho trẻ mặc quần áo cotton thấm hút mồ hôi, tạo môi trường sống thoải mái, sạch sẽ cho trẻ cả ngày lẫn đêm, cho trẻ đi khám ngay nếu thấy có biểu hiện nhiễm trùng ( vùng da tổn thương bị chảy máu, chảy nước,... ).",Single-Choice,['C'],"Tại địa phương, gia đình có trẻ có dấu hiệu ngứa ngáy, khó chịu ở da và được chẩn đoán là mắc viêm da cơ địa. Vậy khi trẻ đã bị mắc viêm da cơ địa thì sau khi bôi thuốc của bác sĩ nên làm gì?",Tắm nước nóng.,Rửa lại bằng xà phòng.,Giữ độ ẩm cho da.,Ngồi điều hòa.
9,10,"Điều trị viêm da cơ địa có nhiều biện pháp có thể áp dụng tại nhà. Tuy nhiên đây là bệnh khó chữa khỏi, dai dẳng và dễ tái phát. Kiểm soát ngứa. Sử dụng băng ướt hoặc đắp ẩm cho vùng da tổn thương ( Petrolatum, aquaphor, hay một số chế phẩm mới hơn như atopiclair và mimyx ). Sử dụng thuốc theo hướng dẫn của bác sĩ chuyên khoa ( thuốc bôi tại chỗ hoặc thuốc bôi toàn thân: Hydrocortisone, triamcinolone, betamethasone ; mỡ tra, đặc biệt khi ở trong môi trường khô. ) Giữ ẩm cho da. Nên sử dụng kem dưỡng ẩm ít gây kích ứng da thường xuyên khi người bệnh xuất hiện các dấu hiệu của bệnh và ngay cả khi đã hết bệnh. Kem dưỡng da nên bôi toàn thân ngay cả khi không có viêm chứ không chỉ vùng da tổn thương. Số lần sử dụng kem dưỡng da tùy thuộc vào mức độ nặng của bệnh, có thể 1 lần, 2 lần hoặc nhiều hơn. Nên bôi kem sau khi làm ẩm da ( tắm, băng ướt,... ). Nếu có chỉ định bôi thuốc của bác sĩ thì bôi thuốc trước rồi thoa một lớp kem dưỡng ẩm phủ lên trên. Chú ý khi lấy kem để bôi nên dùng dụng cụ sạch lấy ra một lượng vừa đủ để bôi tránh làm bẩn lượng kem chưa dùng đến. Đặc biệt, cần chăm sóc cho trẻ bị viêm da cơ địa thật cẩn thận: chú ý vệ sinh cho trẻ thường xuyên, cắt móng tay, băng ướt cho trẻ ( sử dụng phương pháp băng ướt nếu bệnh VDCĐ không được kiểm soát trong vòng 24-48 giờ sau khi bắt đầu điều trị bằng cortisone. Băng ướt rất hiệu quả và thường chỉ cần từ ba đến năm ngày. Có thể pha dung dịch làm tăng cường độ ẩm cho da theo chỉ định của bác sĩ để việc đắp ẩm cho da hiệu quả hơn. Có thể thực hiện băng ướt cho trẻ vài lần mỗi ngày tùy thuộc vào mức độ nặng của da ), chú ý tắm cho trẻ hàng ngày ( dùng sữa tắm thay thế xà phòng, không tắm nước quá nóng, nên tắm trước khi ngủ 2 tiếng giúp trẻ dễ ngủ ngon giấc,... ), cho trẻ mặc quần áo cotton thấm hút mồ hôi, tạo môi trường sống thoải mái, sạch sẽ cho trẻ cả ngày lẫn đêm, cho trẻ đi khám ngay nếu thấy có biểu hiện nhiễm trùng ( vùng da tổn thương bị chảy máu, chảy nước,... ).",Multi-Choice,"['A', 'C']","Vũ, một đứa trẻ 7 tuổi, đã bắt đầu phát hiện các triệu chứng của sự ngứa ngáy và khó chịu trên da, và sau khi được kiểm tra, cậu được chẩn đoán là mắc bệnh viêm da cơ địa. Trong sinh hoạt hăng ngày, cậu cần phải chú ý điều gì?",Uống nhiều nước.,Ngồi điều hòa .,Bôi kem dưỡng ẩm.,Tắm bằng xà phòng nguyên chất.
